NumberOfRuns,CROSSOVER,NIND,MAXGEN,ELITIST,PR_CROSS,PR_MUT,stoppingCriteria,n_percentage,delta,InitializationMethode,RepresentationMethode,Time,ShortestPath,Generations
6,xalt_edges,128,30,0.05,0.05,0.05,4,1,1,1,1,0.1507835,1776.15700408954,30
7,xalt_edges,128,30,0.05,0.05,0.05,4,1,1,1,1,0.1637253,1776.15700408954,30
8,xalt_edges,128,30,0.05,0.05,0.05,4,1,1,1,1,0.1542141,1776.15700408954,30
9,xalt_edges,128,30,0.05,0.05,0.05,4,1,1,1,1,0.1502467,1776.15700408954,30
10,xalt_edges,128,30,0.05,0.05,0.05,4,1,1,1,1,0.1511491,1776.15700408954,30
1,xalt_edges,32,40,0.05,0.05,0.05,4,1,1,1,1,0.0603368,2304.3366645485,40
2,xalt_edges,32,40,0.05,0.05,0.05,4,1,1,1,1,0.0610896,2304.3366645485,40
3,xalt_edges,32,40,0.05,0.05,0.05,4,1,1,1,1,0.0631146,2304.3366645485,40
4,xalt_edges,32,40,0.05,0.05,0.05,4,1,1,1,1,0.0605069,2304.3366645485,40
5,xalt_edges,32,40,0.05,0.05,0.05,4,1,1,1,1,0.060763,2304.3366645485,40
6,xalt_edges,32,40,0.05,0.05,0.05,4,1,1,1,1,0.060693,2304.3366645485,40
7,xalt_edges,32,40,0.05,0.05,0.05,4,1,1,1,1,0.0650474,2304.3366645485,40
8,xalt_edges,32,40,0.05,0.05,0.05,4,1,1,1,1,0.064895,2304.3366645485,40
9,xalt_edges,32,40,0.05,0.05,0.05,4,1,1,1,1,0.0620177,2304.3366645485,40
10,xalt_edges,32,40,0.05,0.05,0.05,4,1,1,1,1,0.0621231,2304.3366645485,40
1,xalt_edges,64,40,0.05,0.05,0.05,4,1,1,1,1,0.1054294,1994.67997433163,40
2,xalt_edges,64,40,0.05,0.05,0.05,4,1,1,1,1,0.1048613,1994.67997433163,40
3,xalt_edges,64,40,0.05,0.05,0.05,4,1,1,1,1,0.1032778,1994.67997433163,40
4,xalt_edges,64,40,0.05,0.05,0.05,4,1,1,1,1,0.1042827,1994.67997433163,40
5,xalt_edges,64,40,0.05,0.05,0.05,4,1,1,1,1,0.1054211,1994.67997433163,40
6,xalt_edges,64,40,0.05,0.05,0.05,4,1,1,1,1,0.1035136,1994.67997433163,40
7,xalt_edges,64,40,0.05,0.05,0.05,4,1,1,1,1,0.1024351,1994.67997433163,40
8,xalt_edges,64,40,0.05,0.05,0.05,4,1,1,1,1,0.109521,1994.67997433163,40
9,xalt_edges,64,40,0.05,0.05,0.05,4,1,1,1,1,0.1034363,1994.67997433163,40
10,xalt_edges,64,40,0.05,0.05,0.05,4,1,1,1,1,0.1032254,1994.67997433163,40
